"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS","Name","Sector","CPALTT01USM657N_PC1","GDP","GDP_PC1","T10Y2Y","M1SL_PC1","M1SL","Earnings_next_year","PROFIT"
"636",2003,"MET",23.95722,31.63993,743959732,17823205483,1.605e+09,0,3.3147e+10,2.323e+09,1.921e+09,7.669e+09,0,1.161e+09,"MetLife","Financials","-20.6","11456.450","4.8",2.4,"6.5","1274.1",2.217e+09,32.0684536853608
"637",2002,"MET",27.61141,23.40463,703947368,19436977988,4.73e+08,0,3.1928e+10,7.473e+09,1.203e+09,6.437e+09,0,3.55e+08,"MetLife","Financials","52.1","10929.108","3.3",2,"4.9","1196.7",1.605e+09,-15.2356580123941
"638",2001,"MET",27.00535,28.60963,739062500,19958640006,9.53e+08,0,3.1947e+10,3.434e+09,1.269e+09,8.343e+09,0,1.094e+09,"MetLife","Financials","-53.7","10581.929","3.2",1.2,"3.3","1140.2",4.73e+08,5.94060065875835
"639",2000,"MET",13.81462,27.80749,626973684,8661401314,6.17e+08,0,2.4748e+10,0,0,0,0,4.18e+09,"MetLife","Financials","25.8","10250.952","6.4",-0.2,"0.1","1103.7",9.53e+08,101.290299696988
"640",2021,"MMM",192.699997,0,579680000,111704334260.96,5.384e+09,1.6605e+10,3.2184e+10,4.634e+09,4.04e+08,4.83e+09,4.239e+09,8.06e+08,"3M","Industrials","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"641",2020,"MMM",133.139999,182.300004,577600000,76901663422.4,4.57e+09,1.7136e+10,3.2136e+10,2.353e+09,9.8e+07,4.963e+09,4.134e+09,2.795e+09,"3M","Industrials","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5.384e+09,36.9235431645151
"642",2019,"MMM",211.940002,158.810004,5.77e+08,122289381154,5.349e+09,1.6682e+10,3.2765e+10,2.853e+09,3.8e+08,5.123e+09,4.366e+09,1.211e+09,"3M","Industrials","19.3","21372.582","4.1",0.2,"4.5","3844.3",4.57e+09,-25.068414409093
"643",2018,"MMM",212.619995,213.010005,588500000,125126867057.5,4.858e+09,1.6001e+10,3.1657e+10,3.053e+09,1.076e+09,4.982e+09,4.034e+09,1.853e+09,"3M","Industrials","-9.3","20527.159","5.4",0.4,"4.4","3680.4",5.349e+09,0.18343053765946
"644",2017,"MMM",190.720001,236.224996,597500000,113955200597.5,5.05e+09,1.504e+10,3.0109e+10,2.398e+09,2.8e+08,4.501e+09,3.385e+09,9.72e+08,"3M","Industrials","1.7","19479.623","4.2",0.9,"8.5","3523.9",4.858e+09,23.8595819847967
"645",2016,"MMM",167.529999,194.365001,604700000,101305390395.3,4.833e+09,1.5383e+10,3.0274e+10,1.798e+09,1.18e+08,4.26e+09,3.518e+09,2.044e+09,"3M","Industrials","180.4","18695.106","2.7",1,"7.5","3248.5",5.05e+09,16.0180279115265
